Scenario,Approach,Rank,Chkpt ID,Number of Chkpts,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
AsiaOSM,TreeLowOffset,0,0,15,64,3489621044,451125724,11725176832,3557664943.713464,7.735362579323896,0.980874
AsiaOSM,TreeLowOffset,0,0,15,64,3489621044,451125724,11725176832,3513399733.3956213,7.735362579323896,0.9932320000000001
AsiaOSM,TreeLowOffset,0,0,15,64,3489621044,451125724,11725176832,3607406472.7414823,7.735362579323896,0.967349
AsiaOSM,Full,0,1,15,64,3489621044,3489621044,4007657472,3547002128.238249,1.0,0.9838226529999999
AsiaOSM,Full,0,1,15,64,3489621044,3489621044,4007657472,3378701461.146053,1.0,1.032829057
AsiaOSM,Full,0,1,15,64,3489621044,3489621044,4007657472,3382258299.5255976,1.0,1.031742917
AsiaOSM,Basic,0,1,15,64,3489621044,38763840,8596226048,26346845981.58284,90.02258403708198,0.13244929
AsiaOSM,Basic,0,1,15,64,3489621044,38763840,8596226048,27885190834.687847,90.02258403708198,0.125142448
AsiaOSM,Basic,0,1,15,64,3489621044,38763840,8596226048,33134495692.33264,90.02258403708198,0.10531686
AsiaOSM,List,0,1,15,64,3489621044,19298296,8912896000,88412141698.7565,180.82534561600673,0.03946993
AsiaOSM,List,0,1,15,64,3489621044,19298296,8912896000,151599726482.65643,180.82534561600673,0.02301865
AsiaOSM,List,0,1,15,64,3489621044,19298296,8912896000,141368843047.46057,180.82534561600673,0.024684512999999998
AsiaOSM,TreeLowOffset,0,1,15,64,3489621044,18320712,11725176832,73543646972.39137,190.4740953299195,0.04744966
AsiaOSM,TreeLowOffset,0,1,15,64,3489621044,18320712,11725176832,140133379862.13232,190.4740953299195,0.02490214
AsiaOSM,TreeLowOffset,0,1,15,64,3489621044,18320712,11725176832,140128253522.0283,190.4740953299195,0.024903051
AsiaOSM,Full,0,2,15,64,3489621044,3489621044,4007657472,3454014882.561183,1.0,1.0103086300000002
AsiaOSM,Full,0,2,15,64,3489621044,3489621044,4007657472,3493964754.959224,1.0,0.998756796
AsiaOSM,Full,0,2,15,64,3489621044,3489621044,4007657472,3350958614.452037,1.0,1.0413799289999999
AsiaOSM,Basic,0,2,15,64,3489621044,37339172,8596226048,29549875563.73144,93.45737618391752,0.11809257999999999
AsiaOSM,Basic,0,2,15,64,3489621044,37339172,8596226048,33334779372.873188,93.45737618391752,0.10468409
AsiaOSM,Basic,0,2,15,64,3489621044,37339172,8596226048,34847729233.65826,93.45737618391752,0.10013912300000001
AsiaOSM,List,0,2,15,64,3489621044,18644756,8912896000,187284785956.13016,187.16367454741697,0.018632699
AsiaOSM,List,0,2,15,64,3489621044,18644756,8912896000,178062158197.70096,187.16367454741697,0.019597769
AsiaOSM,List,0,2,15,64,3489621044,18644756,8912896000,190356239057.75977,187.16367454741697,0.018332055
AsiaOSM,TreeLowOffset,0,2,15,64,3489621044,17737924,11725176832,152610909296.37375,196.73221308198185,0.022866131
AsiaOSM,TreeLowOffset,0,2,15,64,3489621044,17737924,11725176832,152161288772.53027,196.73221308198185,0.022933698000000002
AsiaOSM,TreeLowOffset,0,2,15,64,3489621044,17737924,11725176832,166198990848.25174,196.73221308198185,0.020996644000000002
AsiaOSM,Full,0,3,15,64,3489621044,3489621044,4007657472,3410724979.17712,1.0,1.023131758
AsiaOSM,Full,0,3,15,64,3489621044,3489621044,4007657472,3537717946.8375115,1.0,0.98640454
AsiaOSM,Full,0,3,15,64,3489621044,3489621044,4007657472,2933143087.22471,1.0,1.189720699
AsiaOSM,Basic,0,3,15,64,3489621044,40324780,8596226048,28394031235.687016,86.53788176897679,0.12289981000000001
AsiaOSM,Basic,0,3,15,64,3489621044,40324780,8596226048,30211556621.24182,86.53788176897679,0.115506165
AsiaOSM,Basic,0,3,15,64,3489621044,40324780,8596226048,34608409673.82524,86.53788176897679,0.100831592
AsiaOSM,List,0,3,15,64,3489621044,20708892,8912896000,165900085925.60953,168.5083414409617,0.021034474
AsiaOSM,List,0,3,15,64,3489621044,20708892,8912896000,160068691328.91257,168.5083414409617,0.021800772
AsiaOSM,List,0,3,15,64,3489621044,20708892,8912896000,166446496712.53934,168.5083414409617,0.020965422
AsiaOSM,TreeLowOffset,0,3,15,64,3489621044,19844552,11725176832,144211689217.58398,175.84781173190507,0.024197907
AsiaOSM,TreeLowOffset,0,3,15,64,3489621044,19844552,11725176832,115605971402.00615,175.84781173190507,0.030185474
AsiaOSM,TreeLowOffset,0,3,15,64,3489621044,19844552,11725176832,144933586793.91196,175.84781173190507,0.02407738
AsiaOSM,Full,0,4,15,64,3489621044,3489621044,4007657472,3506691907.755691,1.0,0.995131918
AsiaOSM,Full,0,4,15,64,3489621044,3489621044,4007657472,3505175414.127911,1.0,0.9955624559999999
AsiaOSM,Full,0,4,15,64,3489621044,3489621044,4007657472,3475331599.5195503,1.0,1.0041116780000001
AsiaOSM,Basic,0,4,15,64,3489621044,42103456,8596226048,28960536975.044678,82.88205709289042,0.12049573
AsiaOSM,Basic,0,4,15,64,3489621044,42103456,8596226048,31899563819.790672,82.88205709289042,0.109394005
AsiaOSM,Basic,0,4,15,64,3489621044,42103456,8596226048,33269323551.001038,82.88205709289042,0.104890051
AsiaOSM,List,0,4,15,64,3489621044,20448236,8912896000,182497978523.8787,170.65633651724286,0.019121423
AsiaOSM,List,0,4,15,64,3489621044,20448236,8912896000,170574228596.9274,170.65633651724286,0.020458079
